$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
14,9,1,3,10,14,5,0.33,6,2.33,2,0.4,17,3,0.5,12,0,22.72,18.75,7988.64,0.14,86,0.05,443.81,426.06,0.6,4,7,14,0.13,40,46,16,15,40,52,15,0
3,3,1,0,0,4,2,0.33,2,2,1,0.5,6,1,0,6,2,13.83,11.25,1750.38,0.05,36,0.09,97.24,155.59,0.5,1,2,6,0.2,15,21,8,12,10,0,6,0
0,5,1,0,0,8,3,0.43,4,2,3,1,12,1,0,7,1,13.51,13.33,2401.13,0.06,41,0.08,133.4,180.09,0.33,2,4,11,0.38,20,21,9,12,8,0,7,0
0,3,0,0,0,4,2,0.18,2,2,1,0.5,6,1,0,11,1,16.61,3,149.49,0.02,15,0.33,8.3,49.83,0.5,1,2,6,0.17,4,11,4,6,12,0,11,0
16,11,1,2,6,16,6,0.3,6,2.67,2,0.33,19,5,0.8,18,5,25.18,18,8158,0.15,87,0.06,453.22,453.22,0.83,5,8,15,0.14,38,49,19,18,43,30.77,20,0
1,5,0,0,0,8,3,0.33,4,2,1,0.33,10,1,0,9,1,10.4,11,1258.94,0.04,28,0.09,69.94,114.45,0.33,2,4,9,0.27,12,16,6,11,11,0,9,0
4,3,1,0,0,4,2,0.29,2,2,2,1,6,1,0,7,2,10.34,8.1,678.47,0.03,22,0.12,37.69,83.76,0.5,1,2,6,0.17,9,13,5,9,12,0,7,0
1,11,1,0,1,20,6,0.21,10,2,2,0.33,26,1,0,28,2,30.47,16.36,8158.14,0.17,95,0.06,453.23,498.55,0.17,5,10,22,0.19,45,50,22,16,31,3.45,28,0
5,7,0,0,0,10,4,0.4,4,2.5,1,0.25,11,1,0,10,2,6.98,22.1,3409.75,0.05,37,0.05,189.43,154.29,0.25,3,5,9,0.25,17,20,5,13,16,0,10,0
0,3,1,0,0,4,2,0.18,2,2,2,1,6,1,0,11,0,15.77,6.87,745.37,0.04,26,0.15,41.41,108.42,0.5,1,2,6,0.17,11,15,8,10,12,0,11,0
22,13,7,8,1,20,7,0.18,8,2.5,5,0.71,27,4,0.5,31,1,73.73,12.57,11641.4,0.31,155,0.08,646.74,926.48,0.57,6,11,22,0.11,68,87,46,17,63,22.5,39,0
16,87,5,0,35,154,44,0.17,68,2.26,14,0.32,169,13,0.28,255,4,249.73,43.13,464447.49,3.59,1405,0.02,25802.64,10769.8,0.3,43,77,127,0.14,675,730,180,23,307,12.07,255,0
16,7,1,0,9,12,4,0.31,6,2,1,0.25,16,1,0,13,0,24,22.5,12150,0.18,108,0.04,675,540,0.25,3,6,14,0.1,51,57,17,15,39,40.91,13,0
22,12,3,2,12,16,7,0.13,8,2,6,0.86,26,1,0,53,1,48.73,19.39,18330.01,0.32,160,0.05,1018.33,945.1,0.14,4,8,21,0.07,67,93,38,22,99,20.9,55,0
9,5,1,1,4,8,3,0.2,4,2,2,0.67,11,1,0,14,0,27.81,13.36,4964.52,0.12,75,0.07,275.81,371.56,0.33,2,4,10,0.1,37,38,18,13,29,26.32,15,0
1,11,2,0,0,16,6,0.35,6,2.67,3,0.5,20,6,1,17,3,15.38,23.38,8403.09,0.12,74,0.04,466.84,359.49,1,5,8,16,0.32,33,41,12,17,19,0,17,0
7,7,2,2,3,16,4,0.2,8,2,3,0.75,14,1,0,18,1,25.26,12.89,4196.59,0.11,64,0.08,233.14,325.6,0.25,4,8,12,0.13,29,35,18,16,31,21.74,20,1
2,3,2,0,0,4,2,0.33,2,2,2,1,7,1,0,6,0,16.5,2,66,0.01,11,0.5,3.67,33,0.5,1,2,7,0.22,4,7,4,4,9,0,6,0
0,3,2,0,0,4,2,0.33,2,2,1,0.5,7,1,0,6,1,19.23,4.89,459.61,0.03,23,0.2,25.53,94.01,0.5,1,2,7,0.29,11,12,9,8,7,0,6,0
1,5,2,0,0,8,3,0.23,4,2,3,1,10,3,1,13,2,18.24,12.73,2955.18,0.08,50,0.08,164.18,232.19,1,2,4,9,0.2,20,30,11,14,15,0,13,0
0,7,0,0,0,12,4,0.67,6,2,1,0.25,12,4,1,6,2,14.12,9.63,1308.36,0.05,32,0.1,72.69,135.93,1,3,6,10,0.57,14,18,8,11,7,0,6,0
3,3,0,0,0,4,2,0.4,2,2,1,0.5,5,1,0,5,0,12.24,9.33,1066.06,0.04,30,0.11,59.23,114.22,0.5,1,2,5,0.22,14,16,6,8,9,0,5,0
2,3,0,0,0,4,2,0.33,2,2,1,0.5,5,1,0,6,0,9.05,2,36.19,0.01,7,0.5,2,18.09,0.5,1,2,5,0.22,2,5,2,4,9,0,6,0
48,39,4,2,77,76,20,0.14,38,2,5,0.25,95,4,0.16,144,3,94.07,30.36,86693.87,0.95,428,0.03,4816.33,2855.8,0.2,19,38,77,0.07,187,241,77,25,272,35.43,146,1
35,15,11,2,18,26,8,0.15,12,2.17,7,0.88,41,4,0.43,52,3,61.71,22.17,30324,0.46,228,0.05,1684.67,1368,0.5,7,13,35,0.07,105,123,45,19,108,27.78,54,0
6,3,1,0,0,4,2,0.18,2,2,1,0.5,7,1,0,11,0,28.56,10.66,3242.83,0.1,64,0.09,180.16,304.31,0.5,1,2,7,0.11,31,33,16,11,18,0,11,0
19,11,4,4,21,20,6,0.19,10,2,4,0.67,25,5,0.8,27,0,25.75,23.98,14801.55,0.21,116,0.04,822.31,617.34,0.83,5,10,21,0.08,53,63,21,19,72,48.08,31,0
39,8,5,4,32,4,6,0.14,2,2,6,1,23,1,0,38,2,44.55,25.33,28593.41,0.38,198,0.04,1588.52,1128.69,0.17,1,2,19,0.05,88,110,33,19,114,48.65,42,1
8,7,1,3,5,12,4,0.17,6,2,3,0.75,15,1,0,20,0,20.71,28,16240,0.19,116,0.04,902.22,580,0.25,3,6,13,0.11,56,60,16,16,37,28.57,23,0
5,12,9,0,1,4,10,0.24,2,2,9,0.9,26,1,0,41,1,42.39,16.16,11064.31,0.23,119,0.06,614.68,684.83,0.1,1,2,18,0.13,47,72,32,22,76,2.38,41,0
6,17,9,0,8,30,9,0.24,14,2.14,7,0.78,35,5,0.5,37,0,58.68,10.09,5972.3,0.2,106,0.1,331.79,592.01,0.56,8,15,28,0.17,49,57,34,14,52,17.78,37,0
6,5,1,0,0,8,3,0.21,4,2,1,0.33,10,1,0,14,2,20.84,11,2521.73,0.08,50,0.09,140.1,229.25,0.33,2,4,9,0.14,22,28,12,12,21,0,14,0
9,7,3,2,8,10,4,0.25,4,2.5,2,0.5,15,1,0,14,1,31.34,10.33,3346.5,0.11,66,0.1,185.92,323.85,0.25,3,5,13,0.12,31,35,18,12,34,41.67,16,0
6,13,3,0,0,24,7,0.37,12,2,4,0.57,32,1,0,19,0,32.59,13.12,5614.09,0.14,91,0.08,311.89,427.74,0.14,6,12,27,0.27,42,49,16,10,26,0,19,0
1,7,0,0,0,12,4,0.19,6,2,1,0.25,14,1,0,21,2,16.21,11,1962.54,0.06,42,0.09,109.03,178.41,0.25,3,6,12,0.17,16,26,8,11,23,0,21,0
1,14,1,0,0,16,9,0.32,8,2,2,0.22,30,1,0,28,1,22.95,22.69,11822.56,0.17,100,0.04,656.81,520.95,0.11,4,8,23,0.3,43,57,18,19,30,0,28,0
1,9,3,0,0,14,5,0.24,6,2.33,3,0.6,23,5,1,21,2,24.76,24.5,14864.15,0.2,114,0.04,825.79,606.7,1,4,7,20,0.22,49,65,20,20,23,0,21,0
5,9,3,3,7,16,5,0.17,8,2,4,0.8,20,1,0,27,2,44.17,22.38,22130.78,0.33,178,0.04,1229.49,988.72,0.2,4,8,17,0.12,79,99,30,17,43,27.03,30,1
0,3,1,0,9,4,2,0.25,2,2,1,0.5,6,1,0,8,3,14.33,7.86,884.62,0.04,27,0.13,49.15,112.59,0.5,1,2,6,0.11,10,17,7,11,18,52.94,8,0
4,5,5,0,0,8,3,0.12,4,2,3,1,12,1,0,26,4,48.96,8.1,3208.43,0.13,80,0.12,178.25,396.34,0.33,2,4,11,0.1,34,46,21,10,31,0,26,0
2,9,3,0,1,16,5,0.5,6,2.67,3,0.6,17,4,0.75,10,0,15.12,11.67,2058.21,0.06,39,0.09,114.35,176.42,0.8,5,8,14,0.36,15,24,9,14,14,9.09,10,0
10,13,2,2,5,22,7,0.39,10,2.2,3,0.43,22,1,0,16,3,42.41,15.45,10128.75,0.22,124,0.06,562.71,655.39,0.14,6,11,17,0.21,40,84,22,17,34,30.43,18,0
2,13,3,0,0,22,7,0.3,10,2.2,7,1,27,4,0.5,23,2,28.34,22.91,14874.31,0.22,122,0.04,826.35,649.28,0.57,6,11,22,0.27,56,66,22,18,26,0,23,0
1,15,4,0,1,22,8,0.42,10,2.2,8,1,27,8,1,19,1,23.36,18.35,7869.25,0.14,85,0.05,437.18,428.77,1,6,11,21,0.36,39,46,17,16,22,5,19,0
19,5,6,2,13,8,3,0.1,4,2,2,0.67,15,1,0,27,3,33.66,44.54,66768.32,0.5,278,0.02,3709.35,1499.06,0.33,2,4,14,0.05,131,147,25,17,62,35.71,29,1
2,5,5,0,0,8,3,0.18,4,2,3,1,15,1,0,17,3,23.84,12.69,3840.79,0.1,66,0.08,213.38,302.61,0.33,2,4,14,0.15,30,36,13,11,20,0,17,0
11,25,4,0,6,48,13,0.33,24,2,7,0.54,56,1,0,40,2,56.42,19.13,20637.49,0.36,185,0.05,1146.53,1079.08,0.08,12,24,45,0.22,90,95,40,17,58,13.04,40,1
11,9,1,2,6,14,5,0.19,6,2.33,3,0.6,20,4,0.75,25,0,33.97,22.5,17197.21,0.25,140,0.04,955.4,764.32,0.8,4,7,17,0.11,65,75,26,18,45,24.24,27,0
15,5,3,3,10,8,3,0.15,4,2,2,0.67,12,1,0,17,3,37.06,22.6,18935.91,0.28,150,0.04,1052,837.74,0.33,2,4,11,0.07,69,81,29,19,46,43.33,20,0
1,3,2,0,0,4,2,0.33,2,2,1,0.5,7,1,0,6,2,15.9,6.43,656.91,0.03,25,0.16,36.5,102.19,0.5,1,2,7,0.25,9,16,7,10,8,0,6,0
3,7,0,0,0,10,4,0.4,4,2.5,1,0.25,12,3,0.67,10,1,10.84,13.71,2039.01,0.05,35,0.07,113.28,148.68,0.75,3,5,10,0.29,16,19,7,12,14,0,10,0
6,3,0,0,2,4,2,0.17,2,2,1,0.5,6,1,0,12,1,26.46,9.23,2254.82,0.08,54,0.11,125.27,244.27,0.5,1,2,6,0.1,24,30,13,10,21,14.29,12,0
5,3,5,0,14,4,2,0.18,2,2,2,1,9,1,0,11,0,24.39,5.4,711.1,0.04,31,0.19,39.51,131.69,0.5,1,2,9,0.06,12,19,10,9,31,56,11,0
5,3,1,0,5,4,2,0.29,2,2,1,0.5,7,1,0,7,2,17.97,3.5,220.18,0.02,17,0.29,12.23,62.91,0.5,1,2,7,0.11,6,11,6,7,18,41.67,7,0
11,13,4,4,8,24,7,0.18,12,2,3,0.43,31,1,0,36,1,38.26,27.7,29360.62,0.35,178,0.04,1631.15,1059.85,0.14,6,12,26,0.12,82,96,37,25,60,25,40,0
1,25,4,0,0,38,14,0.31,18,2.11,8,0.57,55,6,0.38,45,2,57.83,26.49,40578.75,0.51,243,0.04,2254.37,1531.82,0.43,10,19,43,0.3,108,135,53,26,47,0,45,0
1,19,3,0,0,30,10,0.77,12,2.5,5,0.5,35,6,0.56,13,3,19.75,20.46,8269.85,0.13,85,0.05,459.44,404.17,0.6,9,15,27,0.67,38,47,13,14,15,0,13,0
0,3,1,0,0,4,2,0.25,2,2,1,0.5,7,1,0,8,1,17.2,6.67,764.63,0.04,27,0.15,42.48,114.69,0.5,1,2,7,0.22,12,15,9,10,9,0,8,0
4,5,5,0,0,6,3,0.14,2,3,3,1,16,3,1,22,1,36.99,12.3,5596.5,0.15,91,0.08,310.92,455,1,2,3,15,0.11,41,50,20,12,27,0,22,0
1,5,4,0,0,8,3,0.25,4,2,2,0.67,13,1,0,12,2,14.42,12.38,2207.86,0.06,42,0.08,122.66,178.41,0.33,2,4,12,0.21,18,24,8,11,14,0,12,0
25,9,1,7,9,16,5,0.21,8,2,2,0.4,19,1,0,17,0,32.11,15.3,7522.74,0.16,93,0.07,417.93,491.54,0.2,4,8,16,0.08,44,49,23,16,59,48.48,24,0
36,25,6,12,6,36,13,0.22,12,3,7,0.54,45,10,0.75,47,1,117.25,17.36,35353.17,0.68,316,0.06,1964.06,2035.97,0.77,12,26,34,0.13,143,173,70,17,102,27.69,59,1
0,7,3,0,3,12,4,0.25,6,2,3,0.75,19,1,0,16,0,21.01,13.5,3829.06,0.09,59,0.07,212.73,283.63,0.25,3,6,17,0.2,27,32,14,14,20,15.79,16,0
0,3,1,0,0,4,2,0.29,2,2,2,1,7,1,0,7,1,8.41,10.13,861.74,0.03,23,0.1,47.87,85.11,0.5,1,2,7,0.25,9,14,4,9,8,0,7,0
45,50,9,42,27,88,27,0.16,44,2,11,0.41,121,1,0,122,0,106.48,59.27,374043.26,2.1,863,0.02,20780.18,6311.02,0.04,22,44,96,0.11,405,458,123,36,237,36.13,164,1
4,11,7,4,2,4,8,0.22,2,2,8,1,22,3,0.29,32,0,33.95,14.15,6799.13,0.16,88,0.07,377.73,480.43,0.38,1,2,16,0.19,31,57,23,21,43,15.79,36,0
9,5,3,2,0,8,3,0.27,4,2,3,1,11,1,0,9,3,44.41,4.71,983.4,0.07,45,0.21,54.63,208.97,0.33,2,4,10,0.14,20,25,17,8,21,18.18,11,0
2,5,1,0,0,8,3,0.38,4,2,2,0.67,9,1,0,8,1,12.1,13.93,2347.73,0.06,39,0.07,130.43,168.56,0.33,2,4,8,0.27,15,24,7,13,11,0,8,0
1,5,0,0,0,8,3,0.43,4,2,1,0.33,9,1,0,7,2,18.88,9,1529.25,0.06,40,0.11,84.96,169.92,0.33,2,4,8,0.33,20,20,10,9,9,0,7,0
16,61,8,0,1,114,31,0.33,54,2.11,15,0.48,130,25,0.8,95,2,104.29,36.9,142000.7,1.28,548,0.03,7888.93,3848.26,0.81,30,57,101,0.27,246,302,100,30,113,1.04,95,0
7,5,5,0,0,4,3,0.23,2,2,3,1,15,1,0,13,0,27.68,4.38,529.87,0.04,31,0.23,29.44,121.11,0.33,1,2,14,0.11,10,21,8,7,28,0,13,0
1,5,2,0,0,8,3,0.43,4,2,3,1,13,1,0,7,2,24.15,8.59,1782.21,0.07,48,0.12,99.01,207.45,0.33,2,4,12,0.33,21,27,11,9,9,0,7,0
7,7,3,0,14,12,4,0.18,6,2,3,0.75,16,1,0,22,2,28.85,9.71,2717.65,0.09,56,0.1,150.98,280,0.25,3,6,14,0.09,22,34,17,15,44,38.89,22,0
1,5,2,0,1,6,3,0.43,2,3,3,1,8,3,1,7,0,19.38,5.06,496.63,0.03,24,0.2,27.59,98.1,1,2,3,7,0.3,9,15,8,9,10,12.5,7,0
0,9,5,0,0,16,5,0.29,8,2,4,0.8,20,1,0,17,1,24.55,23.68,13769.86,0.19,110,0.04,764.99,581.39,0.2,4,8,17,0.28,45,65,19,20,18,0,17,0
3,5,5,0,0,8,3,0.27,4,2,3,1,14,1,0,11,1,33.89,4.85,795.9,0.05,38,0.21,44.22,164.23,0.33,2,4,13,0.2,18,20,13,7,15,0,11,0
23,57,3,0,4,56,33,0.2,24,2.33,11,0.33,102,10,0.28,165,2,160.17,29.21,136707.89,1.56,636,0.03,7594.88,4679.4,0.3,16,28,71,0.17,272,364,135,29,193,2.37,165,1
1,9,1,3,1,16,5,0.29,8,2,2,0.4,16,1,0,14,0,12.24,29.56,10695.71,0.12,80,0.03,594.21,361.88,0.2,4,8,13,0.25,38,42,9,14,20,22.22,17,0
3,3,2,0,1,4,2,0.15,2,2,2,1,10,1,0,13,0,22.46,15,5053.28,0.11,68,0.07,280.74,336.89,0.5,1,2,10,0.11,32,36,16,15,18,7.14,13,0
1,9,0,0,0,14,5,0.5,6,2.33,1,0.2,17,3,0.5,10,2,8.52,19.25,3158.72,0.05,42,0.05,175.48,164.09,0.6,4,7,14,0.42,14,28,4,11,12,0,10,0
14,3,11,1,39,4,2,0.04,2,2,1,0.5,18,1,0,51,0,107.8,23.13,57647.66,0.83,384,0.04,3202.65,2492.87,0.5,1,2,18,0.02,185,199,72,18,106,43.96,52,1
16,15,2,5,13,26,8,0.35,12,2.17,3,0.38,27,1,0,18,1,24.73,28,19390.99,0.23,124,0.04,1077.28,692.54,0.13,7,13,21,0.15,56,68,24,24,53,50,23,0
21,13,5,8,23,24,7,0.26,12,2,5,0.71,31,1,0,19,0,53.3,10.61,6003.3,0.19,103,0.09,333.52,565.66,0.14,6,12,26,0.1,47,56,31,14,72,62,27,0
6,3,2,0,5,4,2,0.13,2,2,2,1,7,1,0,16,1,57.32,10.19,5954.36,0.19,113,0.1,330.8,584.2,0.5,1,2,7,0.06,53,60,26,10,35,23.81,16,0
2,7,1,1,0,12,4,0.22,6,2,1,0.25,16,1,0,17,2,48.72,35.88,62721.59,0.58,313,0.03,3484.53,1748.09,0.25,3,6,14,0.19,78,235,25,23,21,5.56,18,0
0,7,3,2,0,12,4,0.4,6,2,4,1,14,4,1,8,0,26.93,4.8,620.48,0.04,31,0.21,34.47,129.27,1,3,6,12,0.36,12,19,10,8,11,20,10,0
0,3,0,0,1,4,2,0.33,2,2,1,0.5,6,1,0,6,1,5.18,15,1165.64,0.03,21,0.07,64.76,77.71,0.5,1,2,6,0.25,9,12,3,10,8,14.29,6,0
2,5,3,0,1,8,3,0.19,4,2,3,1,12,3,1,16,1,27.81,6.68,1240.57,0.06,40,0.15,68.92,185.75,1,2,4,11,0.15,17,23,14,11,20,5.88,16,0
3,9,5,0,0,16,5,0.45,8,2,4,0.8,21,3,0.5,11,2,15.17,23.86,8637.06,0.12,77,0.04,479.84,361.93,0.6,4,8,18,0.33,35,42,11,15,15,0,11,0
2,17,2,0,0,24,9,0.47,8,3,4,0.44,32,6,0.63,19,2,26.33,31.74,26522.64,0.28,154,0.03,1473.48,835.64,0.67,8,14,25,0.41,73,81,23,20,22,0,19,0
1,9,2,0,3,14,5,0.29,6,2.33,4,0.8,15,5,1,17,3,25.03,8.36,1748.44,0.07,44,0.12,97.14,209.22,1,4,7,12,0.23,18,26,14,13,22,15,17,0
3,5,1,0,0,8,3,0.38,4,2,2,0.67,10,1,0,8,0,16.74,11.23,2110.54,0.06,41,0.09,117.25,187.98,0.33,2,4,9,0.25,19,22,11,13,12,0,8,0
2,25,3,0,0,44,13,0.46,20,2.2,4,0.31,48,9,0.67,28,4,33.99,21.89,16290.19,0.25,138,0.05,905.01,744.14,0.69,12,22,37,0.42,53,85,23,19,31,0,28,0
22,19,0,9,39,34,10,0.14,16,2.13,1,0.1,39,5,0.44,65,2,35.09,30.33,32286.36,0.35,200,0.03,1793.69,1064.39,0.5,9,17,31,0.07,91,109,24,16,136,42.48,74,1
6,3,4,2,5,4,2,0.08,2,2,2,1,14,1,0,22,3,53.06,13.85,10172.91,0.24,140,0.07,565.16,734.71,0.5,1,2,14,0.06,60,80,26,12,36,24.14,24,0
13,7,0,3,0,12,4,0.31,6,2,1,0.25,12,1,0,10,2,22.96,13.59,4242.8,0.1,63,0.07,235.71,312.11,0.25,3,6,10,0.15,29,34,16,15,27,23.08,13,0
0,3,1,0,0,4,2,0.2,2,2,2,1,7,1,0,10,1,18.6,6.5,786.03,0.04,29,0.15,43.67,120.93,0.5,1,2,7,0.18,13,16,9,9,11,0,10,0
16,11,3,3,7,20,6,0.33,10,2,3,0.5,21,1,0,15,0,37.77,12.29,5701.61,0.15,92,0.08,316.76,464.08,0.17,5,10,17,0.14,43,49,21,12,42,40,18,0
5,3,3,1,3,4,2,0.14,2,2,1,0.5,10,1,0,13,1,34.95,18.36,11781.35,0.21,119,0.05,654.52,641.69,0.5,1,2,10,0.09,54,65,25,17,23,23.53,14,0
7,7,4,0,3,4,5,0.14,2,2,5,1,16,1,0,37,1,48.33,13.68,9040.72,0.22,119,0.07,502.26,661,0.2,1,2,13,0.1,53,66,31,16,48,7.5,37,0
6,5,0,1,2,8,3,0.14,4,2,1,0.33,13,1,0,20,0,51.47,13.89,9932.28,0.24,143,0.07,551.79,715,0.33,2,4,12,0.1,71,72,23,9,30,13.04,21,0
0,3,1,0,0,4,2,0.14,2,2,2,1,5,1,0,14,1,20.76,12.27,3126.53,0.08,58,0.08,173.7,254.75,0.5,1,2,5,0.13,27,31,11,10,15,0,14,0
14,5,4,4,19,6,3,0.18,2,3,2,0.67,12,3,1,13,3,34.91,12.87,5781.77,0.15,85,0.08,321.21,449.26,1,2,3,11,0.06,37,48,23,16,51,63.89,17,1
31,39,2,3,26,62,20,0.32,24,2.58,4,0.2,67,13,0.63,60,0,69.45,23.14,37185.01,0.54,258,0.04,2065.83,1607.04,0.65,19,35,49,0.17,119,139,54,21,121,32.58,63,0
4,13,8,0,0,24,7,0.28,12,2,6,0.86,34,6,0.83,25,2,43.02,16.56,11801.69,0.24,125,0.06,655.65,712.55,0.86,6,12,29,0.23,53,72,32,20,30,0,25,0
1,11,2,0,0,18,6,0.5,8,2.25,2,0.33,22,6,1,12,2,11.97,25,7483.01,0.1,61,0.04,415.72,299.32,1,5,9,18,0.43,25,36,10,20,14,0,12,0
8,5,1,1,0,8,3,0.43,4,2,2,0.67,11,1,0,6,2,18.95,7.5,1066,0.05,31,0.13,59.22,142.13,0.33,2,4,10,0.19,15,16,12,12,16,14.29,7,0
0,3,1,0,0,4,2,0.5,2,2,2,1,6,1,0,4,1,12.17,8.4,858.37,0.03,25,0.12,47.69,102.19,0.5,1,2,6,0.4,7,18,5,12,5,0,4,0
1,5,1,0,0,8,3,0.3,4,2,3,1,12,1,0,10,2,14.62,9.17,1228.15,0.04,31,0.11,68.23,133.98,0.33,2,4,11,0.25,15,16,9,11,12,0,10,0
