$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
7,0,9,17,12,4,0.36,6,2,1,0.25,14,1,0,2,0,15.85,10,"1,584.57",0.05,38,0.1,88.03,158.46,0.25,3,6,12,0.13,16,22,8,10,30,92.86,11,0
3,2,3,0,4,2,0.5,2,2,1,0.5,8,1,0,1,1,12.14,5.33,345.2,0.02,17,0.19,19.18,64.73,0.5,1,2,8,0.33,8,9,6,8,6,75,4,0
35,25,68,32,60,18,0.23,28,2.14,12,0.67,85,1,0,9,0,107.72,20.13,"43,626.97",0.72,327,0.05,"2,423.72","2,167.8",0.06,16,30,69,0.16,133,194,76,23,111,91.74,77,0
9,10,35,0,14,5,0.12,6,2.33,4,0.8,30,3,0,6,8,43.37,24.25,"25,506.03",0.35,199,0.04,1417,"1,051.8",0.6,4,7,27,0.11,97,102,26,13,46,85.37,41,0
3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,2,6.75,6.67,299.82,0.01,13,0.15,16.66,44.97,0.5,1,2,6,0.4,5,8,3,8,5,50,2,0
7,0,41,5,12,4,0.09,6,2,1,0.25,16,1,0,3,2,26.9,120.08,"387,847.94",1.08,714,0.01,"21,547.11","3,229.82",0.25,3,6,14,0.08,262,452,12,11,51,93.88,44,0
3,1,7,0,4,2,0.22,2,2,2,1,8,1,0,2,4,13.18,10.93,"1,573.71",0.05,36,0.09,87.43,144,0.5,1,2,8,0.14,17,19,7,9,14,77.78,9,0
11,5,12,3,14,6,0.43,4,3.5,5,0.83,24,6,1,2,2,15.45,16.5,"4,205.45",0.08,60,0.06,233.64,254.88,1,5,7,20,0.3,24,36,8,11,20,88.24,14,0
7,7,13,1,8,4,0.25,4,2,4,1,19,1,0,3,1,20.03,8.57,"1,471.49",0.06,42,0.12,81.75,171.67,0.25,2,4,17,0.21,12,30,7,10,19,82.35,16,0
5,2,7,0,8,3,0.38,4,2,3,1,12,1,0,1,0,25.4,8.36,"1,776.41",0.07,50,0.12,98.69,212.4,0.33,2,4,11,0.3,23,27,11,8,10,87.5,8,0
5,1,4,0,8,3,0.5,4,2,2,0.67,9,1,0,2,1,8.54,5.83,290.67,0.02,15,0.17,16.14,49.83,0.33,2,4,8,0.38,5,10,3,7,8,66.67,6,0
3,5,10,0,4,2,0.18,2,2,2,1,9,1,0,1,5,29.37,8.65,"2,199.7",0.08,57,0.12,122.21,254.19,0.5,1,2,9,0.13,25,32,13,9,16,90.91,11,0
5,2,5,0,6,3,0.43,2,3,3,1,10,3,1,2,2,16.59,5.79,555.43,0.03,24,0.17,30.86,96,1,2,3,9,0.3,9,15,7,9,10,71.43,7,0
3,3,2,0,4,2,0.67,2,2,2,1,7,1,0,1,2,18.49,3.5,226.54,0.02,17,0.29,12.59,64.73,0.5,1,2,7,0.33,7,10,7,7,6,66.67,3,0
3,3,4,0,4,2,0.4,2,2,2,1,8,1,0,1,5,18.55,5.69,599.95,0.04,27,0.18,33.33,105.49,0.5,1,2,8,0.22,13,14,8,7,9,80,5,0
5,1,5,0,8,3,0.43,4,2,2,0.67,10,1,0,2,4,8.88,11,"1,074.39",0.03,25,0.09,59.69,97.67,0.33,2,4,9,0.3,8,17,4,11,10,71.43,7,0
3,2,2,0,4,2,0.67,2,2,2,1,6,1,0,1,3,10.99,6.4,449.97,0.02,19,0.16,25,70.31,0.5,1,2,6,0.29,8,11,5,8,7,66.67,3,0
9,3,10,0,12,5,0.42,4,3,3,0.6,16,5,1,2,2,17.53,13.85,"3,361.23",0.08,49,0.07,186.74,242.76,1,4,6,13,0.36,20,29,13,18,14,83.33,12,0
13,7,24,0,24,7,0.24,12,2,5,0.71,39,1,0,5,1,24.63,19.13,"9,016.09",0.16,97,0.05,500.89,471.22,0.14,6,12,34,0.23,41,56,15,14,31,82.76,29,0
1,1,1,0,4,1,0.5,2,2,1,1,2,1,0,1,2,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,1,2,3,0.2,3,6,3,6,5,50,2,0
3,3,4,1,4,2,0.4,2,2,2,1,10,1,0,1,0,17.64,3.33,196.03,0.02,17,0.3,10.89,58.81,0.5,1,2,10,0.25,8,9,6,5,8,83.33,5,0
3,4,4,2,4,2,0.4,2,2,2,1,8,1,0,1,3,19.45,8,"1,244.72",0.05,36,0.13,69.15,155.59,0.5,1,2,8,0.17,16,20,10,10,12,85.71,5,0
7,2,8,0,12,4,0.4,6,2,2,0.5,17,1,0,2,2,14.14,10.39,"1,526.6",0.05,34,0.1,84.81,146.95,0.25,3,6,15,0.33,17,17,9,11,12,80,10,0
3,0,7,0,4,2,0.22,2,2,1,0.5,6,1,0,2,2,7.69,11.67,"1,046.41",0.03,27,0.09,58.13,89.69,0.5,1,2,6,0.18,10,17,3,7,11,77.78,9,0
9,2,17,21,16,5,0.24,8,2,2,0.4,20,1,0,4,1,16.75,20.67,"7,153.34",0.12,72,0.05,397.41,346.13,0.2,4,8,17,0.11,31,41,12,16,44,90.48,21,0
5,3,7,0,8,3,0.3,4,2,3,1,10,1,0,3,2,23.36,5.25,643.78,0.04,30,0.19,35.77,122.62,0.33,2,4,9,0.25,15,15,10,7,12,70,10,0
3,1,4,2,4,2,0.4,2,2,1,0.5,8,1,0,1,1,12.68,11.25,"1,604.52",0.05,33,0.09,89.14,142.62,0.5,1,2,8,0.22,15,18,8,12,9,85.71,5,0
7,29,61,67,12,4,0.06,6,2,2,0.5,43,1,0,4,0,95.01,22.3,"47,232.5",0.71,348,0.04,"2,624.03","2,118.44",0.25,3,6,41,0.03,115,233,49,19,134,96.97,65,0
3,0,3,0,4,2,0.5,2,2,1,0.5,5,1,0,1,1,7.19,9,582.53,0.02,17,0.11,32.36,64.73,0.5,1,2,5,0.33,3,14,2,12,6,75,4,0
7,5,8,4,12,4,0.44,6,2,2,0.5,19,1,0,1,3,19.61,15.3,4590,0.1,60,0.07,255,300,0.25,3,6,17,0.22,27,33,15,17,18,92.31,9,0
9,1,14,3,16,5,0.29,8,2,4,0.8,18,1,0,3,0,24.08,8.33,"1,672.29",0.07,45,0.12,92.9,200.67,0.2,4,8,15,0.23,20,25,12,10,22,85,17,1
5,4,3,0,8,3,0.75,4,2,3,1,16,1,0,1,0,13.46,9.33,"1,172.67",0.04,33,0.11,65.15,125.64,0.33,2,4,15,0.5,14,19,6,8,6,75,4,0
3,7,6,0,4,2,0.29,2,2,1,0.5,14,1,0,1,1,25.76,6.8,"1,190.93",0.06,42,0.15,66.16,175.14,0.5,1,2,14,0.22,17,25,10,8,9,85.71,7,0
5,2,5,0,8,3,0.43,4,2,3,1,12,1,0,2,0,7.83,14.3,"1,601.6",0.04,28,0.07,88.98,112,0.33,2,4,11,0.33,13,15,5,11,9,71.43,7,0
5,12,11,4,8,3,0.23,4,2,3,1,21,1,0,2,0,20.91,14.06,"4,130.8",0.1,68,0.07,229.49,293.89,0.33,2,4,20,0.16,23,45,9,11,19,88.24,13,0
9,3,9,0,12,5,0.5,4,3,4,0.8,15,5,1,1,2,20.69,12.57,"3,269.39",0.09,53,0.08,181.63,260.07,1,4,6,12,0.38,22,31,14,16,13,90,10,0
3,1,2,0,4,2,0.67,2,2,2,1,6,1,0,1,3,9.56,6,344.16,0.02,16,0.17,19.12,57.36,0.5,1,2,6,0.33,6,10,4,8,6,66.67,3,0
13,4,32,16,24,7,0.18,12,2,5,0.71,35,1,0,7,2,27.11,34.89,"33,013.78",0.32,183,0.03,"1,834.1",946.1,0.14,6,12,30,0.12,78,105,19,17,58,87.27,39,0
5,3,8,3,8,3,0.33,4,2,3,1,11,1,0,1,3,21.55,10.64,"2,438.37",0.08,50,0.09,135.46,229.25,0.33,2,4,10,0.19,18,32,11,13,16,91.67,9,0
5,2,4,0,8,3,0.6,4,2,1,0.33,13,1,0,1,2,10.78,11,"1,303.9",0.04,29,0.09,72.44,118.54,0.33,2,4,12,0.43,12,17,6,11,7,80,5,0
7,4,8,0,12,4,0.4,6,2,4,1,18,1,0,2,0,14.11,15.17,"3,246.47",0.07,48,0.07,180.36,214.05,0.25,3,6,16,0.33,21,27,9,13,12,80,10,0
3,0,1,0,6,2,1,2,3,1,0.5,5,1,0,1,1,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,0.5,2,3,5,0.5,4,8,3,7,4,50,2,0
13,6,28,7,14,8,0.24,6,2.33,6,0.75,30,6,0,5,3,27.59,20.91,"12,064.08",0.19,107,0.05,670.23,576.98,0.75,4,7,24,0.19,46,61,22,20,43,87.5,33,0
3,2,2,0,6,2,0.67,2,3,2,1,6,1,0,1,4,11.98,7.5,673.94,0.03,23,0.13,37.44,89.86,0.5,2,3,6,0.33,10,13,6,9,6,66.67,3,0
7,2,10,4,14,4,0.33,6,2.33,1,0.25,16,1,0,2,0,14.89,15.4,"3,530.42",0.08,50,0.06,196.13,229.25,0.25,4,7,14,0.22,22,28,10,14,18,87.5,12,0
5,3,13,0,8,3,0.18,4,2,3,1,11,1,0,4,3,15.13,20.3,"6,236.01",0.1,67,0.05,346.44,307.19,0.33,2,4,10,0.15,29,38,10,14,20,76.47,17,0
3,2,6,1,4,2,0.25,2,2,2,1,6,1,0,2,1,6.15,13.5,"1,120.86",0.03,24,0.07,62.27,83.03,0.5,1,2,6,0.18,6,18,2,9,11,77.78,8,0
11,4,14,0,18,6,0.38,8,2.25,4,0.67,22,4,0,2,7,18.65,20.42,"7,773.35",0.13,81,0.05,431.85,380.74,0.67,5,9,18,0.27,35,46,12,14,22,87.5,16,0
5,3,23,56,8,3,0.11,4,2,3,1,15,1,0,5,1,29.77,19.12,"10,881.75",0.19,116,0.05,604.54,569.2,0.33,2,4,14,0.03,50,66,17,13,86,94.05,28,0
7,4,13,26,12,4,0.24,6,2,3,0.75,16,1,0,4,0,19.64,16.14,"5,125.38",0.11,66,0.06,284.74,317.29,0.25,3,6,14,0.09,28,38,13,15,45,90.7,17,0
5,1,7,0,8,3,0.33,4,2,2,0.67,10,3,1,2,4,13.81,12.44,"2,139.14",0.06,38,0.08,118.84,171.9,1,2,4,9,0.25,16,22,9,14,12,77.78,9,0
5,7,6,2,8,3,0.43,4,2,2,0.67,16,1,0,1,4,23.88,12.66,"3,824.79",0.1,61,0.08,212.49,302.21,0.33,2,4,15,0.2,27,34,16,15,15,88.89,7,0
29,6,34,1,48,15,0.38,20,2.4,11,0.73,59,14,0,6,3,33.28,26.56,"23,481.15",0.29,165,0.04,"1,304.51",884,0.93,14,24,46,0.35,75,90,24,17,43,85.37,40,0
3,1,0,0,4,2,1,2,2,2,1,6,1,0,0,1,7.78,5.33,221.4,0.01,12,0.19,12.3,41.51,0.5,1,2,6,1,4,8,3,8,2,0,0,0
3,3,5,19,4,2,0.29,2,2,2,1,7,1,0,2,0,19.64,5.5,594,0.04,27,0.18,33,108,0.5,1,2,7,0.07,11,16,8,8,28,92.31,7,0
5,0,4,0,8,3,0.6,4,2,1,0.33,8,1,0,1,3,7.7,13.5,"1,403.51",0.03,29,0.07,77.97,103.96,0.33,2,4,7,0.38,9,20,3,9,8,80,5,0
3,2,10,2,4,2,0.17,2,2,2,1,8,1,0,2,6,20.75,11.45,"2,722.81",0.08,55,0.09,151.27,237.71,0.5,1,2,8,0.11,28,27,11,9,18,85.71,12,0
5,3,10,0,8,3,0.25,4,2,2,0.67,12,1,0,2,5,18.2,15.75,"4,515.95",0.1,61,0.06,250.89,286.73,0.33,2,4,11,0.2,27,34,12,14,15,83.33,12,0
5,3,8,1,8,3,0.27,4,2,3,1,13,1,0,3,2,8.83,23.14,"4,728.77",0.07,44,0.04,262.71,204.33,0.33,2,4,12,0.21,18,26,7,18,14,75,11,0
3,0,3,0,4,2,0.5,2,2,1,0.5,6,1,0,1,0,13.88,4.8,319.72,0.02,18,0.21,17.76,66.61,0.5,1,2,6,0.33,6,12,5,8,6,75,4,0
3,1,4,5,4,2,0.4,2,2,1,0.5,7,1,0,1,1,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,0.5,1,2,7,0.17,5,10,4,7,12,90,5,0
7,1,9,0,12,4,0.33,6,2,2,0.5,17,3,0,3,4,9.49,14,"1,859.68",0.04,34,0.07,103.32,132.83,0.75,3,6,15,0.27,14,20,5,10,15,75,12,0
3,1,7,0,4,2,0.22,2,2,2,1,7,1,0,2,3,9.45,11,"1,143.6",0.03,29,0.09,63.53,103.96,0.5,1,2,7,0.18,11,18,4,8,11,77.78,9,0
5,4,5,0,8,3,0.5,4,2,1,0.33,14,1,0,1,0,15.08,11.7,"2,064.1",0.06,39,0.09,114.67,176.42,0.33,2,4,13,0.38,18,21,10,13,8,83.33,6,0
3,4,2,0,4,2,0.67,2,2,2,1,9,1,0,1,1,16.73,4.5,338.78,0.03,21,0.22,18.82,75.28,0.5,1,2,9,0.4,9,12,6,6,5,66.67,3,0
3,2,3,0,4,2,0.5,2,2,2,1,9,1,0,1,0,9.77,7.2,506.22,0.02,19,0.14,28.12,70.31,0.5,1,2,9,0.33,9,10,5,8,6,75,4,0
3,3,10,40,4,2,0.17,2,2,2,1,8,1,0,2,1,33.1,7.86,"2,043.3",0.09,56,0.13,113.52,260.06,0.5,1,2,8,0.04,20,36,14,11,54,96.15,12,0
9,0,13,3,14,5,0.33,6,2.33,1,0.2,15,3,0,2,4,18.91,16.35,"5,053.15",0.1,63,0.06,280.73,309.13,0.6,4,7,12,0.25,25,38,13,17,20,88.89,15,0
9,2,11,0,14,5,0.36,6,2.33,3,0.6,19,3,0,3,6,13.79,19.71,"5,359.67",0.09,64,0.05,297.76,271.87,0.6,4,7,16,0.25,23,41,7,12,20,78.57,14,0
10,5,26,45,6,7,0.23,2,3,7,1,23,3,0,4,0,31.56,14.5,"6,636.44",0.15,86,0.07,368.69,457.69,0.43,2,3,18,0.09,29,57,20,20,77,94.67,30,0
3,0,5,0,4,2,0.29,2,2,1,0.5,5,1,0,2,0,14.8,5.25,407.97,0.03,21,0.19,22.67,77.71,0.5,1,2,5,0.22,9,12,6,7,9,71.43,7,0
6,16,134,26,4,4,0.03,2,2,4,1,130,1,0,4,4,515.37,19.45,"194,889.1",3.34,1298,0.05,"10,827.17","10,021.99",0.25,1,2,128,0.02,474,824,195,16,169,97.56,138,0
7,9,9,2,12,4,0.36,6,2,4,1,23,1,0,2,0,15.86,16,"4,061.18",0.08,54,0.06,225.62,253.82,0.25,3,6,21,0.27,20,34,10,16,15,84.62,11,0
7,0,15,1,12,4,0.2,6,2,1,0.25,13,1,0,5,4,16.45,10.69,"1,878.44",0.06,43,0.09,104.36,175.76,0.25,3,6,11,0.17,19,24,8,9,23,76.19,20,0
7,0,1,0,12,4,2,6,2,1,0.25,12,1,0,1,3,6.66,10,665.68,0.02,21,0.1,36.98,66.57,0.25,3,6,10,1,10,11,3,6,4,50,2,0
5,2,3,0,8,3,0.75,4,2,3,1,11,1,0,1,0,7.03,16.5,1914,0.04,29,0.06,106.33,116,0.33,2,4,10,0.5,11,18,4,12,6,75,4,0
7,3,21,1,12,4,0.16,6,2,4,1,17,4,1,4,5,22.24,20.53,"9,376.55",0.15,94,0.05,520.91,456.65,1,3,6,15,0.13,44,50,15,14,30,84.62,25,0
9,4,16,1,16,5,0.28,8,2,4,0.8,29,1,0,2,1,13.97,34.36,"16,494.55",0.16,96,0.03,916.36,480,0.2,4,8,26,0.24,36,60,11,21,21,89.47,18,0
3,1,2,0,4,2,0.67,2,2,2,1,8,1,0,1,3,10.24,5.6,321.21,0.02,16,0.18,17.85,57.36,0.5,1,2,8,0.33,8,8,5,7,6,66.67,3,0
3,1,5,2,4,2,0.33,2,2,1,0.5,7,1,0,1,0,15.74,5.71,513.85,0.03,22,0.18,28.55,89.92,0.5,1,2,7,0.2,8,14,7,10,10,87.5,6,0
11,8,29,0,18,6,0.18,8,2.25,4,0.67,31,3,0,4,5,28.97,28.95,24283,0.28,161,0.03,"1,349.06",838.72,0.5,5,9,27,0.16,76,85,21,16,38,87.88,33,0
7,2,12,0,12,4,0.27,6,2,3,0.75,15,1,0,3,2,10.48,27.19,"7,748.01",0.09,63,0.04,430.45,284.98,0.25,3,6,13,0.24,29,34,8,15,17,80,15,0
3,2,3,7,4,2,0.5,2,2,2,1,6,1,0,1,0,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,0.5,1,2,6,0.15,6,11,5,8,13,90.91,4,0
19,4,33,17,28,10,0.26,10,2.8,6,0.6,36,8,0,6,4,21.41,44,"41,453.41",0.31,192,0.02,"2,302.97",942.12,0.8,9,14,28,0.16,77,115,14,16,61,89.29,39,1
23,0,39,2,40,12,0.27,18,2.22,1,0.08,48,6,0,6,7,31.07,35.11,"38,303.42",0.36,205,0.03,"2,127.97",1091,0.5,11,20,38,0.22,95,110,23,17,55,87.23,45,0
9,9,24,5,16,5,0.17,8,2,5,1,24,1,0,5,0,36.74,12.66,"5,885.92",0.16,93,0.08,327,465,0.2,4,8,21,0.14,37,56,19,13,36,85.29,29,0
3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,3,10.57,5.6,331.56,0.02,16,0.18,18.42,59.21,0.5,1,2,6,0.4,7,9,5,8,5,50,2,0
5,2,7,0,8,3,0.33,4,2,3,1,12,3,1,2,3,12.84,12.5,"2,005.92",0.05,35,0.08,111.44,160.47,1,2,4,11,0.27,15,20,9,15,11,77.78,9,0
5,17,47,73,8,3,0.06,4,2,2,0.67,29,1,0,3,0,75.17,22.63,"38,501.99",0.57,297,0.04,2139,"1,701.19",0.33,2,4,28,0.02,81,216,34,19,125,97.56,50,0
7,4,10,0,10,4,0.33,4,2.5,4,1,15,4,1,2,2,17.63,12,"2,538.28",0.07,44,0.08,141.02,211.52,1,3,5,13,0.29,18,26,12,16,14,83.33,12,0
27,17,93,26,52,14,0.13,26,2,8,0.57,88,1,0,11,0,149.83,25.83,"99,941.02",1.29,589,0.04,"5,552.28","3,869.64",0.07,13,26,76,0.11,237,352,78,17,132,91.54,104,0
11,6,16,0,20,6,0.32,10,2,6,1,24,4,0,3,4,18.13,23.33,"9,871.1",0.14,88,0.04,548.39,423.05,0.67,5,10,20,0.27,35,53,12,16,22,84.21,19,0
5,1,2,0,6,3,1,2,3,2,0.67,8,3,1,1,3,6.29,10,629.07,0.02,17,0.1,34.95,62.91,1,2,3,7,0.6,6,11,3,10,5,66.67,3,0
11,17,49,12,20,6,0.11,10,2,6,1,54,6,1,7,1,82.49,15.76,20495,0.43,227,0.06,"1,138.61","1,300.24",1,5,10,50,0.09,97,130,40,13,70,89.71,56,0
7,6,13,0,12,4,0.24,6,2,3,0.75,22,1,0,4,1,19.75,11.45,"2,590.77",0.08,50,0.09,143.93,226.18,0.25,3,6,20,0.21,21,29,11,12,19,76.47,17,0
1,0,0,0,4,1,1,2,2,1,1,1,1,0,0,1,5.8,2,23.22,0,5,0.5,1.29,11.61,1,1,2,2,1,1,4,1,4,1,0,0,0
3,1,4,2,4,2,0.4,2,2,1,0.5,7,1,0,1,0,13.44,4,215.1,0.02,15,0.25,11.95,53.77,0.5,1,2,7,0.22,4,11,4,8,9,85.71,5,0
5,0,7,6,8,3,0.3,4,2,1,0.33,9,3,1,3,1,12.38,9.43,"1,100.86",0.04,28,0.11,61.16,116.76,1,2,4,8,0.17,12,16,7,11,18,81.25,10,0
3,1,5,0,4,2,0.29,2,2,2,1,6,1,0,2,2,16.37,5.25,451.25,0.03,22,0.19,25.07,85.95,0.5,1,2,6,0.22,7,15,6,9,9,71.43,7,0
3,2,9,16,4,2,0.18,2,2,1,0.5,8,1,0,2,2,24.04,10.4,"2,599.82",0.08,52,0.1,144.43,249.98,0.5,1,2,8,0.07,24,28,15,13,29,92.59,11,0
5,4,17,1,8,3,0.15,4,2,2,0.67,14,1,0,3,5,22.46,14.39,"4,653.68",0.11,68,0.07,258.54,323.33,0.33,2,4,13,0.12,31,37,14,13,25,85.71,20,0
5,20,54,100,8,3,0.05,4,2,2,0.67,35,1,0,3,0,85.35,18.7,"29,847.5",0.53,280,0.05,"1,658.19","1,596.12",0.33,2,4,34,0.02,77,203,35,17,159,98.09,57,0
