$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
3,2,5,4,4,2,0.29,2,2,2,1,7,1,0,2,1,18.26,3.6,236.63,0.02,19,0.28,13.15,65.73,0.5,1,2,7,0.15,6,13,5,6,13,81.82,7,0
7,0,32,6,12,4,0.12,6,2,1,0.25,20,1,0,2,1,84.08,18.38,"28,389.73",0.52,283,0.05,"1,577.21","1,545.02",0.25,3,6,18,0.1,98,185,32,12,42,95,34,0
5,6,6,0,6,3,0.38,2,3,3,1,14,3,1,2,1,16.52,11.25,"2,090.73",0.06,43,0.09,116.15,185.84,1,2,3,13,0.3,15,28,8,12,10,75,8,0
5,5,8,0,6,3,0.33,2,3,3,1,11,3,1,1,2,19.9,8.18,"1,332.39",0.05,36,0.12,74.02,162.85,1,2,3,10,0.25,15,21,11,12,12,88.89,9,0
5,6,11,6,8,3,0.25,4,2,3,1,18,1,0,1,2,28.19,18.79,"9,952.06",0.18,105,0.05,552.89,529.66,0.33,2,4,17,0.15,51,54,19,14,20,94.44,12,0
7,3,14,1,12,4,0.25,6,2,3,0.75,21,1,0,2,1,11.91,27.44,"8,971.59",0.11,68,0.04,498.42,326.9,0.25,3,6,19,0.21,26,42,9,19,19,88.24,16,0
3,4,5,2,4,2,0.29,2,2,2,1,8,1,0,2,11,34.97,4.78,799.32,0.06,36,0.21,44.41,167.18,0.5,1,2,8,0.12,17,19,16,9,17,77.78,7,0
3,1,0,0,4,2,1,2,2,1,0.5,7,1,0,0,2,9.87,7.7,585.2,0.03,19,0.13,32.5,76,0.5,1,2,7,2,7,12,5,11,1,0,0,0
9,2,8,0,16,5,0.5,8,2,5,1,20,3,0,2,4,10.38,18.42,"3,520.47",0.06,45,0.05,195.58,191.16,0.6,4,8,17,0.36,17,28,6,13,14,80,10,0
5,0,9,0,8,3,0.25,4,2,1,0.33,8,1,0,3,4,9.59,13.5,"1,748.46",0.04,35,0.07,97.14,129.52,0.33,2,4,7,0.2,12,23,4,9,15,75,12,0
3,1,4,1,4,2,0.4,2,2,2,1,6,1,0,1,1,11.52,3.75,161.94,0.01,13,0.27,9,43.19,0.5,1,2,6,0.25,5,8,4,6,8,83.33,5,0
11,4,15,2,20,6,0.32,10,2,4,0.67,31,5,0,4,2,18.72,17.36,"5,641.07",0.11,65,0.06,313.39,325,0.83,5,10,27,0.24,27,38,14,18,25,80.95,19,0
3,3,4,4,4,2,0.4,2,2,2,1,7,1,0,1,0,14.04,2,56.15,0.01,10,0.5,3.12,28.07,0.5,1,2,7,0.18,3,7,3,4,11,88.89,5,0
5,4,26,8,8,3,0.1,4,2,1,0.33,18,1,0,3,0,65.2,17.25,"19,400.09",0.37,206,0.06,"1,077.78","1,124.64",0.33,2,4,17,0.08,92,114,32,12,39,91.89,29,0
5,4,9,0,8,3,0.27,4,2,3,1,12,1,0,2,1,15.89,9.63,"1,471.91",0.05,36,0.1,81.77,152.93,0.33,2,4,11,0.23,14,22,8,11,13,81.82,11,0
3,0,0,0,4,2,1,2,2,1,0.5,6,1,0,2,4,10.8,3.33,120,0.01,12,0.3,6.67,36,0.5,1,2,6,0.4,4,8,3,5,5,0,2,0
5,1,3,0,6,3,0.75,2,3,2,0.67,7,3,1,1,1,11.4,6.67,506.67,0.03,19,0.15,28.15,76,1,2,3,6,0.5,8,11,6,10,6,75,4,0
31,6,34,1,50,16,0.4,20,2.5,12,0.75,61,15,0,6,3,31.2,30.8,"29,601.09",0.32,175,0.03,"1,644.5",961.07,0.94,15,25,47,0.37,77,98,25,20,43,85.37,40,0
13,2,34,8,18,7,0.2,6,3,1,0.14,28,7,1,1,5,27.18,61.56,"103,003.28",0.56,341,0.02,"5,722.4","1,673.25",1,6,9,23,0.15,161,180,17,13,47,97.67,35,0
3,0,2,0,6,2,0.67,2,3,1,0.5,5,1,0,1,1,9.34,6.67,415.13,0.02,18,0.15,23.06,62.27,0.5,2,3,5,0.4,5,13,3,8,5,66.67,3,0
3,1,4,8,4,2,0.33,2,2,1,0.5,7,1,0,2,0,12.96,7.71,771.43,0.03,25,0.13,42.86,100,0.5,1,2,7,0.13,12,13,7,9,16,85.71,6,0
5,3,8,3,8,3,0.33,4,2,3,1,11,1,0,1,1,16.47,10.67,"1,874.06",0.06,40,0.09,104.11,175.69,0.33,2,4,10,0.21,16,24,9,12,14,91.67,9,0
9,4,42,2,16,5,0.11,8,2,3,0.6,31,1,0,4,0,77.05,18.6,"26,664.97",0.48,261,0.05,"1,481.39","1,433.37",0.2,4,8,28,0.1,115,146,34,11,50,91.67,46,0
3,0,1,0,4,2,1,2,2,1,0.5,6,1,0,1,2,5.05,5,126.33,0.01,9,0.2,7.02,25.27,0.5,1,2,6,0.5,4,5,2,5,4,50,2,0
5,2,3,0,8,3,0.75,4,2,3,1,11,1,0,1,0,7.78,11.25,985.15,0.03,23,0.09,54.73,87.57,0.33,2,4,10,0.5,9,14,4,10,6,75,4,0
5,2,4,0,6,3,0.6,2,3,3,1,10,3,1,1,2,15.9,5.79,532.29,0.03,23,0.17,29.57,92,1,2,3,9,0.38,9,14,7,9,8,80,5,0
7,4,13,6,12,4,0.24,6,2,3,0.75,19,3,0,4,2,25.03,10.29,"2,651.95",0.09,52,0.1,147.33,257.62,0.75,3,6,17,0.17,25,27,17,14,24,82.61,17,0
3,0,26,17,4,2,0.07,2,2,1,0.5,7,1,0,2,0,23.26,51,"60,496.65",0.4,266,0.02,"3,360.92","1,186.21",0.5,1,2,7,0.04,102,164,11,11,47,95.56,28,0
5,0,7,0,6,3,0.33,2,3,1,0.33,8,3,1,2,4,12.51,18,"4,052.52",0.08,53,0.06,225.14,225.14,1,2,3,7,0.25,21,32,7,12,12,77.78,9,0
3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,3,9.21,5.63,291.41,0.02,14,0.18,16.19,51.81,0.5,1,2,6,0.4,5,9,4,9,5,50,2,0
5,2,7,0,8,3,0.38,4,2,3,1,10,1,0,1,2,22.78,6.36,922.39,0.05,33,0.16,51.24,144.95,0.33,2,4,9,0.3,14,19,11,10,10,87.5,8,0
5,3,7,0,8,3,0.3,4,2,3,1,10,1,0,3,3,26.21,5.09,679.32,0.04,32,0.2,37.74,133.44,0.33,2,4,9,0.25,16,16,11,7,12,70,10,0
5,0,8,2,8,3,0.3,4,2,1,0.33,12,1,0,2,3,19.9,8.8,"1,541.2",0.06,42,0.11,85.62,175.14,0.33,2,4,11,0.18,22,20,10,8,17,83.33,10,0
1,0,0,0,4,1,1,2,2,1,1,1,1,0,0,2,8,3,72,0.01,8,0.33,4,24,1,1,2,2,1,2,6,2,6,1,0,0,0
7,2,14,0,12,4,0.24,6,2,2,0.5,15,1,0,3,5,15.95,27.3,"11,891.1",0.15,95,0.04,660.62,435.57,0.25,3,6,13,0.2,39,56,10,14,20,82.35,17,0
3,8,17,31,4,2,0.1,2,2,2,1,17,1,0,3,0,64.18,9.71,"6,045.7",0.21,131,0.1,335.87,622.89,0.5,1,2,17,0.04,33,98,17,10,53,94.12,20,0
3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,3,7.78,5.33,221.4,0.01,12,0.19,12.3,41.51,0.5,1,2,6,0.5,4,8,3,8,4,50,2,0
5,2,7,1,6,3,0.38,2,3,2,0.67,9,3,1,1,4,17.97,7.33,966.31,0.04,30,0.14,53.68,131.77,1,2,3,8,0.21,11,19,9,12,14,88.89,8,0
13,8,43,29,24,7,0.15,12,2,7,1,45,1,0,4,9,62.57,29.75,"55,377.85",0.62,337,0.03,"3,076.55","1,861.44",0.14,6,12,40,0.08,136,201,32,14,86,94.74,47,0
3,2,10,2,4,2,0.17,2,2,2,1,8,1,0,2,5,18.5,11.25,"2,341.67",0.07,49,0.09,130.09,208.15,0.5,1,2,8,0.11,25,24,10,9,18,85.71,12,0
7,0,2,0,10,4,1.33,2,5,1,0.25,9,3,0,1,2,8.54,9.33,744.11,0.03,24,0.11,41.34,79.73,0.75,4,7,7,0.67,8,16,3,7,6,66.67,3,0
13,9,32,6,22,7,0.18,10,2.2,7,1,43,5,0,6,2,35.74,23,"18,906.42",0.27,159,0.04,"1,050.36",822.02,0.71,6,11,38,0.15,46,113,18,18,46,86.36,38,0
3,2,2,0,4,2,0.67,2,2,2,1,6,1,0,1,2,8.71,7,426.61,0.02,17,0.14,23.7,60.94,0.5,1,2,6,0.4,7,10,4,8,5,66.67,3,0
3,2,7,0,4,2,0.22,2,2,2,1,6,1,0,2,3,12.02,9.75,"1,142.77",0.04,30,0.1,63.49,117.21,0.5,1,2,6,0.17,13,17,6,9,12,77.78,9,0
11,9,29,0,18,6,0.18,8,2.25,5,0.83,32,3,0,4,6,32.25,27.61,"24,598.68",0.3,171,0.04,"1,366.59",890.82,0.5,5,9,28,0.16,81,90,22,15,38,87.88,33,0
6,5,16,1,4,4,0.2,2,2,3,0.75,15,1,0,4,2,15.54,13,"2,626.61",0.07,46,0.08,145.92,202.05,0.25,1,2,13,0.17,16,30,8,13,23,80.95,20,0
9,4,14,0,16,5,0.33,8,2,1,0.2,23,1,0,1,2,15.91,20.63,"6,766.8",0.11,69,0.05,375.93,328.09,0.2,4,8,20,0.29,33,36,12,15,17,93.33,15,0
13,2,20,4,22,7,0.3,10,2.2,1,0.14,23,7,1,3,5,15.01,26.31,"10,391.54",0.13,79,0.04,577.31,395,1,6,11,18,0.23,36,43,13,19,30,88.89,23,0
3,2,4,0,4,2,0.33,2,2,2,1,6,1,0,2,2,8.96,8,573.59,0.02,20,0.13,31.87,71.7,0.5,1,2,6,0.25,8,12,4,8,8,66.67,6,0
3,2,3,0,4,2,0.5,2,2,2,1,7,1,0,1,3,10.79,10.5,"1,189.65",0.04,29,0.1,66.09,113.3,0.5,1,2,7,0.29,14,15,6,9,7,75,4,0
13,1,16,0,24,7,0.35,12,2,5,0.71,25,7,1,4,5,11.55,35,"14,143.26",0.13,92,0.03,785.74,404.09,1,6,12,20,0.27,35,57,7,14,26,80,20,0
9,0,11,0,14,5,0.36,6,2.33,1,0.2,15,3,0,3,5,11.17,15.4,"2,648.8",0.06,43,0.06,147.16,172,0.6,4,7,12,0.28,14,29,5,11,18,78.57,14,0
5,7,11,0,8,3,0.2,4,2,3,1,14,3,1,4,2,13.48,16.67,"3,744.39",0.07,49,0.06,208.02,224.66,1,2,4,13,0.18,20,29,9,15,17,73.33,15,0
10,9,33,4,8,6,0.15,4,2,6,1,24,4,0,6,0,33.05,17.59,"10,229.12",0.19,102,0.06,568.28,581.44,0.67,2,4,20,0.13,38,64,27,25,45,86.05,39,0
3,2,3,0,4,2,0.5,2,2,2,1,7,1,0,1,1,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,0.5,1,2,7,0.33,6,11,5,8,6,75,4,0
3,0,3,2,4,2,0.5,2,2,1,0.5,6,1,0,1,3,11.98,5.25,330.26,0.02,17,0.19,18.35,62.91,0.5,1,2,6,0.25,9,8,6,7,8,83.33,4,0
5,1,7,0,8,3,0.33,4,2,2,0.67,10,3,1,2,4,11.78,9.17,990,0.04,27,0.11,55,108,1,2,4,9,0.25,11,16,6,10,12,77.78,9,0
10,14,22,0,12,6,0.22,6,2,6,1,35,1,0,5,2,28.73,23.21,"15,477.01",0.22,128,0.04,859.83,666.81,0.17,3,6,31,0.21,49,79,19,18,29,81.48,27,0
5,1,9,5,8,3,0.27,4,2,2,0.67,9,3,1,2,4,20.63,12.12,"3,028.63",0.08,52,0.08,168.26,249.98,1,2,4,8,0.16,21,31,13,15,19,87.5,11,0
29,21,46,28,52,15,0.29,24,2.17,10,0.67,93,10,0,5,1,31.83,37.96,"45,877.98",0.4,212,0.03,"2,548.78","1,208.49",0.67,14,26,80,0.19,82,130,27,25,81,93.67,51,0
7,4,31,12,12,4,0.11,6,2,4,1,27,1,0,4,0,40.31,18.87,"14,351.82",0.25,146,0.05,797.32,760.58,0.25,3,6,25,0.08,62,84,23,14,49,91.49,35,0
9,2,17,38,16,5,0.21,8,2,3,0.6,21,1,0,7,3,17.27,20.42,"7,197.55",0.12,75,0.05,399.86,352.53,0.2,4,8,18,0.08,35,40,12,14,64,88.71,24,0
5,3,16,8,8,3,0.16,4,2,3,1,10,1,0,3,0,41.74,6.73,"1,890.84",0.09,65,0.15,105.05,280.93,0.33,2,4,9,0.1,25,40,13,7,29,88.89,19,1
5,6,12,0,8,3,0.23,4,2,2,0.67,17,1,0,1,4,27.66,13.75,"5,230.38",0.13,80,0.07,290.58,380.39,0.33,2,4,16,0.17,40,40,16,11,18,92.31,13,0
3,1,4,21,4,2,0.33,2,2,1,0.5,7,1,0,2,0,14.23,9.38,"1,250.98",0.04,32,0.11,69.5,133.44,0.5,1,2,7,0.07,15,17,8,10,29,92.59,6,0
3,2,8,2,4,2,0.2,2,2,2,1,8,1,0,2,5,16.21,18.15,"5,341.28",0.1,67,0.06,296.74,294.29,0.5,1,2,8,0.12,33,34,10,11,17,83.33,10,0
9,3,32,4,16,5,0.14,8,2,3,0.6,26,3,0,4,0,55.58,30.67,"52,269.23",0.57,299,0.03,"2,903.85","1,704.43",0.6,4,8,23,0.12,138,161,36,16,42,90,36,0
1,0,1,0,4,1,0.5,2,2,1,1,1,1,0,1,2,8,3,72,0.01,8,0.33,4,24,1,1,2,2,0.2,2,6,2,6,5,50,2,0
3,5,5,2,4,2,0.33,2,2,2,1,9,1,0,1,2,20.94,8.18,"1,401.55",0.06,39,0.12,77.86,171.3,0.5,1,2,9,0.17,18,21,11,10,12,87.5,6,0
3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,9.87,6.75,449.6,0.02,18,0.15,24.98,66.61,0.5,1,2,7,0.29,6,12,4,9,7,80,5,0
3,2,19,5,4,2,0.1,2,2,2,1,10,1,0,2,5,39.59,16.58,"10,880.48",0.22,129,0.06,604.47,656.28,0.5,1,2,10,0.07,42,87,19,15,29,92.31,21,0
3,0,3,0,4,2,0.5,2,2,1,0.5,5,1,0,1,1,9.68,5.83,329.42,0.02,17,0.17,18.3,56.47,0.5,1,2,5,0.33,5,12,3,7,6,75,4,0
5,4,18,1,4,3,0.13,2,2,3,1,12,1,0,6,4,22.56,12.5,"3,525.33",0.09,60,0.08,195.85,282.03,0.33,1,2,11,0.1,25,35,13,13,29,76,24,0
3,1,3,4,4,2,0.5,2,2,2,1,5,1,0,1,0,7.4,5.83,251.91,0.01,13,0.17,14,43.19,0.5,1,2,5,0.2,5,8,3,7,10,87.5,4,0
15,5,56,17,20,9,0.15,10,2,6,0.67,37,4,0,4,1,36.04,41.43,"61,857.91",0.5,242,0.02,"3,436.55","1,493.12",0.44,5,10,30,0.11,116,126,42,30,79,94.81,60,0
5,3,10,0,8,3,0.21,4,2,3,1,12,1,0,4,0,18.12,4.2,319.65,0.03,22,0.24,17.76,76.11,0.33,2,4,11,0.19,7,15,5,6,16,71.43,14,0
9,1,8,0,16,5,0.5,8,2,2,0.4,18,3,0,2,3,8.77,19.5,"3,333.86",0.06,41,0.05,185.21,170.97,0.6,4,8,15,0.36,15,26,5,13,14,80,10,0
3,1,2,0,4,2,0.67,2,2,2,1,6,1,0,1,4,9.87,6.75,449.6,0.02,18,0.15,24.98,66.61,0.5,1,2,6,0.33,6,12,4,9,6,66.67,3,0
5,3,2,0,8,3,1,4,2,3,1,12,1,0,1,1,14.31,7.14,729.9,0.03,25,0.14,40.55,102.19,0.33,2,4,11,0.6,10,15,7,10,5,66.67,3,0
7,8,15,0,12,4,0.21,6,2,4,1,20,4,1,4,5,19.5,20.92,"8,538.09",0.14,84,0.05,474.34,408.07,1,3,6,18,0.18,34,50,13,16,22,78.95,19,0
7,5,9,0,10,4,0.4,4,2.5,3,0.75,14,1,0,1,2,25.87,7.69,"1,531.05",0.07,44,0.13,85.06,199.04,0.25,3,5,12,0.33,20,24,13,10,12,90,10,0
29,20,31,22,46,15,0.42,18,2.56,14,0.93,77,10,0,5,6,39.5,33.6,"44,598.88",0.44,234,0.03,"2,477.72","1,327.35",0.67,14,23,64,0.23,96,138,30,21,66,91.38,36,0
3,0,6,0,4,2,0.25,2,2,1,0.5,6,1,0,2,2,8.79,7.88,544.86,0.02,20,0.13,30.27,69.19,0.5,1,2,6,0.2,9,11,4,7,10,75,8,0
11,5,12,3,14,6,0.43,4,3.5,5,0.83,24,6,1,2,1,15.45,16.5,"4,205.45",0.08,60,0.06,233.64,254.88,1,5,7,20,0.32,24,36,8,11,19,88.24,14,0
5,3,6,0,8,3,0.43,4,2,2,0.67,13,1,0,1,0,10.38,12.07,"1,512.98",0.04,29,0.08,84.05,125.34,0.33,2,4,12,0.33,13,16,7,13,9,85.71,7,0
7,0,5,0,12,4,0.67,6,2,1,0.25,12,1,0,1,2,5.1,20.17,"2,073.1",0.03,27,0.05,115.17,102.8,0.25,3,6,10,0.5,11,16,3,11,8,83.33,6,0
