$loc,$v,$ev,$iv,$n,$v,$l,$d,$i,$e,$b,$t,$LOcode,$LOComment,$LOBlank,$locCodeAndComment,$uniq_Op,$uniq_Opnd,$total_Op,$total_Opnd,$branchCount,$<defects
8,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,0,3,0,0,7,3,8,4,1,0
11,1,1,1,29,116,0.09,10.83,10.71,1256.67,0.04,69.81,0,3,0,0,10,6,16,13,1,0
6,1,1,1,4,8,0.67,1.5,5.33,12,0,0.67,0,0,0,0,3,1,3,1,1,0
13,2,1,1,20,74.01,0.29,3.5,21.15,259.02,0.02,14.39,0,0,0,0,7,6,14,6,3,0
6,1,1,1,10,31.7,0.33,3,10.57,95.1,0.01,5.28,0,3,0,0,6,3,7,3,1,0
22,2,1,2,81,421.97,0.09,11.48,36.77,4842.06,0.14,269,0,12,1,0,17,20,54,27,3,0
29,7,5,2,100,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,19,15,60,40,13,0
9,1,1,1,81,366.41,0.05,20.22,18.12,7409.59,0.12,411.64,0,2,3,0,14,9,55,26,1,0
16,4,4,1,135,675,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,17,15,92,43,7,0
92,15,15,15,466,2643.35,0.02,57,46.37,150670.96,0.88,8370.61,27,41,67,0,19,32,274,192,29,0
18,4,4,1,76,369.21,0.07,15.38,24,5680.1,0.12,315.56,7,11,9,0,16,13,51,25,7,0
36,6,1,6,182,1005.29,0.05,21.46,46.84,21576.47,0.34,1198.69,9,22,15,0,19,27,121,61,11,0
5,1,1,1,9,28.53,0.33,3,9.51,85.59,0.01,4.75,1,1,0,0,6,3,6,3,1,0
22,3,1,3,69,341.84,0.07,14.06,24.31,4807.12,0.11,267.06,4,0,6,0,15,16,39,30,5,0
3,1,1,1,7,18.09,0.4,2.5,7.24,45.24,0.01,2.51,0,0,0,0,5,1,6,1,1,0
7,2,1,1,27,105.49,0.08,12,8.79,1265.83,0.04,70.32,0,0,1,0,10,5,15,12,3,0
3,1,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7,4,9,5,1,0
7,1,1,1,29,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6,8,16,13,1,0
9,3,1,1,41,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11,7,23,18,5,0
11,3,1,1,49,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12,9,27,22,5,0
4,1,1,1,13,39,0.33,3,13,117,0.01,6.5,0,0,0,0,4,4,7,6,1,0
3,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,0
30,4,1,2,193,1149.16,0.04,25.34,45.35,29117.23,0.38,1617.62,10,22,21,0,25,37,118,75,7,0
5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,1,1,2,0,3,2,3,2,1,0
16,4,1,2,109,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,6,10,9,0,24,19,68,41,7,0
5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,1,1,2,0,3,2,3,2,1,0
15,4,1,2,109,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,7,10,10,0,24,19,68,41,7,0
40,10,1,8,399,2609.12,0.03,31.3,83.37,81653.73,0.87,4536.32,35,31,46,0,27,66,246,153,19,0
5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,1,1,2,0,3,2,3,2,1,0
5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,1,1,2,0,3,2,3,2,1,0
12,2,1,1,100,516.99,0.07,15.21,33.99,7863.73,0.17,436.87,8,14,8,0,17,19,66,34,3,0
5,1,1,1,6,15.51,0.5,2,7.75,31.02,0.01,1.72,1,7,1,0,4,2,4,2,1,0
44,6,1,4,380,2490.74,0.03,34.84,71.49,86774.3,0.83,4820.79,18,28,33,0,32,62,245,135,11,0
31,5,1,5,141,734.53,0.06,16.56,44.36,12163.87,0.24,675.77,5,0,10,0,12,25,72,69,9,0
22,6,1,3,94,503.61,0.05,19.95,25.24,10047.02,0.17,558.17,11,21,25,0,21,20,56,38,11,0
20,4,1,4,122,666.05,0.07,14.44,46.13,9617.77,0.22,534.32,2,13,9,0,19,25,84,38,7,0
27,6,3,5,140,801.91,0.07,14.9,53.81,11951.03,0.27,663.95,4,16,20,0,22,31,98,42,11,0
6,1,1,1,28,121.01,0.2,5,24.2,605.07,0.04,33.61,3,3,3,0,10,10,18,10,1,0
25,2,1,2,140,759.68,0.06,15.45,49.18,11735.7,0.25,651.98,2,4,10,0,14,29,76,64,3,0
10,2,1,1,45,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,14,10,31,14,3,0
10,2,1,1,45,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,14,10,31,14,3,0
5,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,3,3,2,0,4,1,4,1,1,0
14,3,1,2,56,266.27,0.12,8.62,30.91,2294.05,0.09,127.45,4,8,7,0,14,13,40,16,5,0
20,4,1,4,97,526.35,0.09,11.12,47.35,5850.56,0.18,325.03,3,12,14,0,17,26,63,34,7,0
28,7,5,5,142,809.46,0.07,14.56,55.58,11789.43,0.27,654.97,4,18,19,0,21,31,99,43,13,0
3,1,1,1,11,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,3,7,0,7,2,9,2,1,0
45,12,5,8,288,1810.2,0.04,26.32,68.78,47644.35,0.6,2646.91,21,29,36,0,28,50,194,94,23,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
7,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9,8,14,11,3,0
11,2,1,1,32,130.8,0.08,12,10.9,1569.59,0.04,87.2,2,2,3,0,12,5,22,10,3,0
11,2,1,1,48,207.45,0.08,12,17.29,2489.43,0.07,138.3,2,2,3,0,12,8,32,16,3,0
27,8,4,6,93,484.48,0.07,13.74,35.27,6655.21,0.16,369.73,14,22,9,0,18,19,64,29,15,0
10,2,1,2,26,104,0.15,6.67,15.6,693.33,0.03,38.52,4,12,5,0,10,6,18,8,3,0
9,2,1,1,27,110.36,0.12,8.25,13.38,910.48,0.04,50.58,3,3,1,0,11,6,18,9,3,0
9,2,1,1,43,185.84,0.11,9.17,20.27,1703.56,0.06,94.64,3,3,1,0,11,9,28,15,3,0
20,3,1,1,36,147.15,0.07,14.67,10.03,2158.18,0.05,119.9,0,0,5,0,11,6,20,16,5,0
98,10,10,7,486,3428.87,0.04,27.25,125.84,93428.15,1.14,5190.45,6,57,49,0,32,101,314,172,19,0
172,25,15,24,750,5588.41,0.04,22.99,243.12,128457.87,1.86,7136.55,20,56,77,0,27,148,498,252,49,0
6,1,1,1,50,216.1,0.18,5.65,38.22,1221.78,0.07,67.88,0,0,2,0,7,13,29,21,1,0
43,4,1,4,267,1619.65,0.05,19.2,84.37,31093.83,0.54,1727.43,1,29,31,0,19,48,170,97,7,0
36,2,1,2,171,916.14,0.04,24.18,37.89,22153.96,0.31,1230.78,11,31,34,0,19,22,115,56,3,0
21,4,1,3,87,472.09,0.11,9.48,49.79,4476.07,0.16,248.67,11,5,14,0,16,27,55,32,7,0
6,1,1,1,23,92,0.19,5.14,17.89,473.14,0.03,26.29,2,7,2,0,9,7,15,8,1,0
5,1,1,1,14,51.81,0.22,4.5,11.51,233.13,0.02,12.95,2,0,1,0,9,4,10,4,1,0
5,1,1,1,14,53.3,0.22,4.5,11.85,239.86,0.02,13.33,3,0,1,0,9,5,9,5,1,0
8,1,1,1,39,162.63,0.12,8.13,20.02,1321.34,0.05,73.41,5,0,5,0,10,8,26,13,1,0
6,1,1,1,35,143.06,0.15,6.75,21.19,965.66,0.05,53.65,6,0,4,0,9,8,23,12,1,0
16,4,1,2,91,474.06,0.05,19.41,24.42,9202.35,0.16,511.24,1,1,5,0,20,17,58,33,7,0
14,3,1,3,37,167.37,0.1,10.4,16.09,1740.67,0.06,96.7,0,7,4,0,13,10,21,16,5,0
88,19,9,9,492,3289.76,0.02,48.79,67.42,160516.7,1.1,8917.59,6,51,39,0,33,70,285,207,37,0
29,4,1,3,151,912.7,0.05,18.53,49.27,16907.83,0.3,939.32,7,6,18,0,26,40,94,57,6,0
60,21,5,15,809,5767.59,0.01,73.1,78.9,421634.86,1.92,23424.16,16,37,49,0,44,96,490,319,41,0
52,10,3,6,342,2220.21,0.02,46.67,47.58,103609.98,0.74,5756.11,12,25,31,0,36,54,202,140,19,0
7,1,1,1,19,76,0.22,4.5,16.89,342,0.03,19,1,0,1,0,8,8,10,9,1,0
8,1,1,1,34,146.95,0.2,5,29.39,734.73,0.05,40.82,2,5,7,0,8,12,19,15,1,0
20,1,1,1,99,507.8,0.12,8.25,61.55,4189.34,0.17,232.74,3,4,6,0,11,24,63,36,1,0
29,6,1,6,133,707.82,0.04,24,29.49,16987.59,0.24,943.76,7,3,5,0,20,20,85,48,8,0
9,1,1,1,28,114.45,0.14,7.14,16.02,817.49,0.04,45.42,0,0,2,0,10,7,18,10,1,0
15,4,4,2,55,264.4,0.08,12,22.03,3172.85,0.09,176.27,1,0,1,0,16,12,37,18,7,0
14,2,1,1,51,239.72,0.11,9.5,25.23,2277.36,0.08,126.52,2,7,7,0,13,13,32,19,3,0
22,3,1,1,47,215.49,0.12,8.03,26.81,1732.23,0.07,96.24,0,0,1,0,11,13,28,19,4,0
63,15,4,3,262,1626.88,0.03,35.45,45.89,57670.7,0.54,3203.93,5,0,17,0,35,39,183,79,20,0
9,2,1,1,40,178.38,0.14,7.22,24.7,1288.28,0.06,71.57,2,1,3,0,13,9,30,10,3,0
9,2,1,1,39,173.92,0.14,7.22,24.08,1256.07,0.06,69.78,2,0,3,0,13,9,29,10,3,0
17,4,1,2,68,340,0.07,13.6,25,4624,0.11,256.89,1,1,6,0,17,15,44,24,7,0
9,3,3,1,19,70.31,0.21,4.8,14.65,337.48,0.02,18.75,0,0,0,0,8,5,13,6,5,0
10,2,1,1,62,294.8,0.08,12.5,23.58,3685.04,0.1,204.72,4,0,4,0,15,12,42,20,3,0
3,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,0,0,4,1,4,1,1,0
9,5,5,1,31,124,0.16,6.43,19.29,797.14,0.04,44.29,0,0,0,0,9,7,21,10,9,0
101,19,9,8,677,4887.38,0.02,64.68,75.56,316115.55,1.63,17561.98,44,76,84,0,49,100,413,264,37,0
29,8,1,6,555,3695.31,0.02,48.05,76.91,177559.52,1.23,9864.42,28,6,17,0,31,70,338,217,15,0
22,6,5,4,185,1092.77,0.03,29.45,37.1,32187.18,0.36,1788.18,3,8,16,0,27,33,113,72,11,0
106,13,1,11,421,2739.78,0.04,27.04,101.31,74089.87,0.91,4116.1,0,14,51,0,20,71,229,192,25,0
21,3,1,3,86,454.54,0.09,11.25,40.4,5113.63,0.15,284.09,0,6,6,0,15,24,50,36,5,0
10,2,1,2,37,162.52,0.14,7.27,22.35,1181.93,0.05,65.66,0,0,1,0,10,11,21,16,3,0
17,3,1,3,137,718.97,0.04,24.29,29.6,17460.6,0.24,970.03,4,3,9,0,17,21,77,60,5,0
13,3,1,3,71,337.6,0.08,13.2,25.58,4456.28,0.11,247.57,4,0,5,0,12,15,38,33,5,0
4,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,0,3,1,0,3,2,3,2,1,0
49,13,8,6,384,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28,37,237,147,25,0
49,13,8,6,384,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28,37,237,147,25,0
55,14,9,5,366,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31,43,228,138,27,0
55,14,9,5,366,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31,43,228,138,27,0
17,5,4,2,120,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19,17,78,42,9,0
17,5,4,2,120,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19,17,78,42,9,0
20,5,4,2,127,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,20,19,83,44,9,0
20,5,4,2,127,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,20,19,83,44,9,0
30,9,9,2,405,2183.89,0.01,76.87,28.41,167872.07,0.73,9326.23,1,12,6,0,23,19,278,127,17,0
45,15,15,2,581,3190.77,0.01,95.66,33.36,305225.84,1.06,16956.99,1,16,9,0,23,22,398,183,29,0
20,6,6,2,241,1299.55,0.02,46,28.25,59779.23,0.43,3321.07,1,6,7,0,23,19,165,76,11,0
15,3,1,3,36,147.15,0.06,18,8.17,2648.68,0.05,147.15,0,0,3,0,12,5,21,15,5,0
70,13,7,9,355,2263.14,0.04,27.86,81.22,63061.03,0.75,3503.39,6,15,25,0,24,59,218,137,25,0
24,4,1,4,91,466.76,0.06,16.94,27.55,7907.54,0.16,439.31,3,2,5,0,18,17,59,32,7,0
6,1,1,1,21,84,0.17,5.79,14.52,486,0.03,27,3,2,5,0,9,7,12,9,1,0
12,3,1,2,106,525.14,0.06,18.12,28.99,9514.39,0.18,528.58,7,9,15,0,14,17,62,44,5,0
5,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,1,3,0,4,3,4,3,1,0
8,1,1,1,45,187.65,0.09,10.63,17.66,1993.75,0.06,110.76,4,2,5,0,10,8,28,17,1,0
9,2,1,1,43,185.84,0.07,13.5,13.77,2508.88,0.06,139.38,2,2,6,0,12,8,25,18,3,0
9,2,1,1,53,232.79,0.06,17.06,13.64,3972.03,0.08,220.67,2,2,5,0,13,8,32,21,3,0
19,4,1,4,134,731.56,0.05,18.29,40.01,13377.17,0.24,743.18,3,0,4,0,16,28,70,64,7,0
6,1,1,1,13,43.19,0.33,3,14.4,129.56,0.01,7.2,3,2,5,0,5,5,7,6,1,0
25,6,1,6,182,1005.29,0.04,23.73,42.36,23858.84,0.34,1325.49,3,0,4,0,16,30,93,89,11,0
19,3,1,3,72,360,0.1,10.11,35.6,3640,0.12,202.22,1,9,14,0,14,18,46,26,5,0
76,16,10,11,526,3670.05,0.03,33.87,108.35,124313.16,1.22,6906.29,28,17,35,0,32,94,327,199,31,0
35,5,1,5,191,1114.08,0.1,10.11,110.24,11259.34,0.37,625.52,1,0,1,0,10,47,96,95,9,0
8,3,1,2,43,188.87,0.09,10.67,17.71,2014.61,0.06,111.92,7,2,6,0,12,9,27,16,5,0
14,1,1,1,49,196,0.36,2.77,70.78,542.77,0.07,30.15,0,0,0,0,3,13,25,24,1,0
7,1,1,1,27,102.8,0.13,8,12.85,822.39,0.03,45.69,2,1,3,0,8,6,15,12,1,0
27,5,1,4,159,888.01,0.05,20.7,42.9,18381.79,0.3,1021.21,8,19,17,0,23,25,114,45,9,0
20,3,1,2,205,1138.69,0.03,30.2,37.71,34384.39,0.38,1910.24,10,7,16,0,19,28,116,89,5,0
27,6,1,2,279,1627.38,0.03,33.51,48.56,54539.1,0.54,3029.95,14,5,11,0,20,37,155,124,11,0
25,5,1,4,100,552.36,0.05,20.16,27.4,11135.5,0.18,618.64,2,0,5,0,21,25,52,48,9,0
423,96,27,63,2075,17124.28,0.01,125.77,136.16,2153690.63,5.71,119649.48,80,165,81,0,72,233,1261,814,162,0
30,5,1,5,189,1061.18,0.07,13.61,78,14437.64,0.35,802.09,1,0,2,0,11,38,95,94,9,0
10,4,1,3,28,109.39,0.18,5.69,19.23,622.17,0.04,34.57,2,2,20,0,7,8,15,13,7,0
49,16,10,3,399,2602.9,0.03,31.06,83.81,80843.05,0.87,4491.28,35,12,115,0,24,68,223,176,31,0
33,6,1,5,172,989.84,0.05,18.46,53.63,18269.63,0.33,1014.98,7,30,31,0,19,35,104,68,11,1
92,4,1,4,822,6234.84,0.04,26.64,234.02,166113.93,2.08,9228.55,7,46,62,0,24,168,449,373,7,1
44,7,1,7,269,1746.31,0.05,22.12,78.96,38620.28,0.58,2145.57,6,14,36,0,25,65,154,115,13,1
143,13,1,12,695,4996.93,0.04,28.52,175.18,142535.33,1.67,7918.63,11,57,93,0,24,122,405,290,25,1
196,37,21,26,1177,9135.35,0.01,71.54,127.7,653537.1,3.05,36307.62,14,170,155,0,52,165,723,454,71,1
12,1,1,1,37,159.91,0.11,9,17.77,1439.2,0.05,79.96,0,1,7,0,12,8,25,12,1,1
12,1,1,1,37,159.91,0.11,9,17.77,1439.2,0.05,79.96,0,1,7,0,12,8,25,12,1,1
133,30,1,26,605,4185.91,0.01,77.46,54.04,324260.81,1.4,18014.49,3,91,55,0,50,71,385,220,34,1
28,3,1,2,104,557.19,0.07,15.24,36.57,8490.44,0.19,471.69,0,11,9,0,20,21,72,32,5,1
91,20,9,4,568,3740.26,0.02,51.47,72.67,192513.32,1.25,10695.18,20,96,46,0,28,68,318,250,39,1
41,4,3,3,129,745.8,0.08,13.19,56.52,9840.36,0.25,546.69,0,12,1,0,19,36,79,50,7,1
149,20,1,18,702,5081.36,0.03,29.58,171.78,150305.78,1.69,8350.32,0,62,10,0,32,119,482,220,37,1
411,73,30,41,1500,12749.77,0.02,43.41,293.68,553518.63,4.25,30751.03,45,339,42,0,48,314,932,568,141,1
121,15,3,12,537,3817.28,0.04,23.26,164.09,88801.93,1.27,4933.44,3,29,16,0,24,114,316,221,29,1
130,20,9,10,607,4282.56,0.02,51.6,83,220979.91,1.43,12276.66,23,65,12,0,38,95,349,258,37,1
79,12,4,6,201,1227.81,0.07,13.73,89.42,16858.82,0.41,936.6,14,78,2,0,17,52,117,84,23,1
57,9,1,7,213,1318.43,0.03,29.27,45.05,38588.27,0.44,2143.79,6,7,6,0,32,41,138,75,15,1
49,7,1,5,229,1341.48,0.07,13.6,98.6,18250.34,0.45,1013.91,6,4,3,0,15,43,151,78,13,1
58,10,5,1,187,1038.71,0.03,33.52,30.99,34816.7,0.35,1934.26,6,6,9,0,21,26,104,83,19,1
28,3,1,3,148,835.29,0.05,18.67,44.75,15592.09,0.28,866.23,2,11,40,0,20,30,92,56,5,1
13,3,1,3,38,164.23,0.14,7.33,22.4,1204.38,0.05,66.91,2,0,0,0,11,9,26,12,5,1
